,word,count,sentiment
675,taking,23,positive
676,supermarket,23,positive
677,splendid,23,positive
678,due,23,positive
679,put,23,positive
680,maybe,23,positive
681,impoant,23,positive
682,strong,23,positive
683,bhanks,23,positive
684,rent,23,positive
685,decor,23,positive
686,beauty,23,positive
687,retreat,23,positive
688,tried,23,positive
689,reviews,23,positive
690,unforgettable,23,positive
691,regards,23,positive
692,west,23,positive
693,english,23,positive
694,brwould,22,positive
695,considerate,22,positive
696,greeted,22,positive
697,talk,22,positive
698,extraordinary,22,positive
699,please,22,positive
700,single,22,positive
701,site,22,positive
702,set,22,positive
703,might,22,positive
704,years,22,positive
705,dinner,22,positive
706,georges,22,positive
707,keep,22,positive
708,luxurious,22,positive
709,refund,22,positive
710,recomended,22,positive
711,nicest,22,positive
712,persons,22,positive
713,feels,22,positive
714,accurate,22,positive
715,elafonisi,22,positive
716,young,22,positive
717,cold,21,positive
718,entire,21,positive
719,neighbors,21,positive
720,tub,21,positive
721,several,21,positive
722,relaxation,21,positive
723,review,21,negative
724,done,21,positive
725,marina,21,positive
726,address,21,positive
727,live,21,positive
728,spaces,21,positive
729,problems,21,positive
730,vibe,21,positive
731,cats,21,positive
732,dogs,21,positive
733,scenery,21,positive
734,experiences,21,positive
735,theres,21,positive
736,later,21,positive
737,meters,20,positive
738,recomend,20,positive
739,weekend,20,positive
740,probably,20,positive
741,forward,20,positive
742,weeks,20,positive
743,complete,20,positive
744,agia,20,positive
745,dimitra,20,positive
746,wrong,20,positive
747,absolute,20,positive
748,guys,20,positive
749,checking,20,positive
750,eating,20,positive
751,countryside,19,positive
752,homely,19,positive
753,products,19,positive
754,oil,19,positive
755,provide,19,positive
756,each,19,positive
757,brbrwe,19,positive
758,stop,19,positive
759,smiling,19,positive
760,surprised,19,positive
761,answered,19,positive
762,doing,19,positive
763,7,19,positive
764,why,19,positive
765,pillows,18,positive
766,hopefully,18,positive
767,matala,18,positive
768,immediately,18,positive
769,round,18,positive
770,indeed,18,positive
771,offers,18,positive
772,bathrooms,18,positive
773,western,18,positive
774,mold,18,positive
775,wont,18,positive
776,luxury,18,positive
777,generosity,18,positive
778,understanding,18,positive
779,general,17,positive
780,sophia,17,positive
781,pleased,17,positive
782,piece,17,positive
783,under,17,positive
784,trips,17,positive
785,sound,17,positive
786,per,17,negative
787,shopping,17,positive
788,returning,17,positive
789,deck,17,positive
790,loud,17,positive
791,although,17,positive
792,6,17,positive
793,sitting,17,positive
794,taste,17,positive
795,attentions,17,positive
796,change,17,positive
797,travelers,17,positive
798,taken,17,positive
799,number,17,positive
800,anastasia,17,positive
801,neighbours,17,positive
802,comfos,17,positive
803,loft,17,positive
804,airy,16,positive
805,appaments,16,positive
806,reliable,16,positive
807,rethymnon,16,positive
808,bugs,16,positive
809,escape,16,positive
810,marvelous,16,positive
811,heater,16,positive
812,reccomend,16,positive
813,thomas,16,positive
814,getting,16,positive
815,greatly,16,positive
816,gardens,16,positive
817,sink,16,positive
818,airbnbs,16,positive
819,word,16,positive
820,realy,16,positive
821,instructions,16,positive
822,wed,16,positive
823,message,16,positive
824,fuher,16,positive
825,gladly,16,positive
826,fix,16,positive
827,father,15,positive
828,aris,15,positive
829,watch,15,positive
830,nick,15,positive
831,coueous,15,positive
832,connection,15,positive
833,heaven,15,positive
834,trying,15,positive
835,below,15,positive
836,suitable,15,positive
837,haris,15,positive
838,previous,15,positive
839,paleochora,15,positive
840,advise,15,positive
841,marianna,15,positive
842,management,15,positive
843,coast,15,positive
844,turned,15,positive
845,supermarkets,15,positive
846,daughter,15,positive
847,order,15,positive
848,hear,15,positive
849,hiking,15,positive
850,journey,15,positive
851,informative,15,positive
852,cooking,15,positive
853,standard,15,positive
854,driving,14,positive
855,case,14,positive
856,typical,14,positive
857,world,14,positive
858,sorry,14,positive
859,shown,14,positive
860,company,14,positive
861,vibes,14,positive
862,highlight,14,positive
863,heated,14,positive
864,greatest,14,positive
865,unbelievable,14,positive
866,call,14,positive
867,therefore,14,positive
868,oppounity,14,positive
869,panagiotis,14,positive
870,activities,14,positive
871,issue,14,positive
872,lovers,14,positive
873,delight,14,positive
874,beautifull,14,positive
875,tasty,14,positive
876,brother,14,positive
877,bath,14,positive
878,cooked,14,positive
879,definately,14,positive
880,least,14,positive
881,ratio,14,positive
882,responded,14,positive
883,saying,14,positive
884,mike,13,positive
885,foot,13,positive
886,speak,13,positive
887,loves,13,positive
888,flowers,13,positive
889,behind,13,positive
890,south,13,positive
891,remarkable,13,positive
892,paper,13,positive
893,answers,13,positive
894,farm,13,positive
895,original,13,positive
896,presented,13,positive
897,pantelis,13,positive
898,fact,13,positive
899,reasonable,13,positive
900,communicated,13,positive
901,paicularly,13,positive
902,dark,13,positive
903,brbri,13,positive
904,popi,13,positive
905,jenny,13,positive
906,wood,13,positive
907,panos,13,positive
908,baby,13,positive
909,except,13,positive
910,emmanuel,13,positive
911,ourselves,12,positive
912,tell,12,positive
913,residence,12,positive
914,restful,12,positive
915,cafe,12,positive
916,phone,12,positive
917,couch,12,positive
918,absolutly,12,positive
919,straight,12,positive
920,locations,12,positive
921,sharing,12,positive
922,slow,12,positive
923,drink,12,positive
924,verry,12,positive
925,month,12,positive
926,decided,12,positive
927,grounds,12,positive
928,warmth,12,positive
929,upstairs,12,positive
930,app,12,negative
931,grateful,12,positive
932,badly,12,positive
933,d,12,positive
934,proximity,12,positive
935,newly,12,positive
936,explained,12,positive
937,solution,12,positive
938,rena,12,positive
939,surprises,12,positive
940,country,12,positive
941,job,11,positive
942,bakery,11,positive
943,class,11,positive
944,humidity,11,positive
945,conveniently,11,positive
946,staed,11,positive
947,move,11,positive
948,keys,11,positive
949,villages,11,positive
950,glad,11,positive
951,myself,11,positive
952,either,11,positive
953,informed,11,positive
954,directions,11,positive
955,katerinas,11,positive
956,sincerely,11,positive
957,together,11,positive
958,panoramic,11,positive
959,loads,11,positive
960,studios,11,positive
961,shes,11,positive
962,hoped,11,positive
963,definetly,11,positive
964,region,11,positive
965,difficult,11,positive
966,brperfect,11,positive
967,inviting,11,positive
968,ended,11,positive
969,rustic,11,positive
970,olga,11,positive
971,finish,11,positive
972,expensive,11,positive
973,communications,11,positive
974,november,11,positive
975,chairs,11,positive
976,perfekt,11,positive
977,definitly,11,positive
978,sites,11,positive
979,silence,11,positive
980,refused,10,positive
981,pack,10,positive
982,vegetables,10,positive
983,brits,10,positive
984,forget,10,positive
985,system,10,positive
986,inspiring,10,positive
987,walked,10,positive
988,silent,10,positive
989,multiple,10,positive
990,reservation,10,positive
991,scam,10,positive
992,glass,10,positive
993,despoina,10,positive
994,everythings,10,positive
995,direct,10,positive
996,impossible,10,positive
997,orange,10,positive
998,question,10,positive
999,decorations,10,positive
1000,complained,10,positive
1001,options,10,positive
1002,among,10,positive
1003,waiting,10,positive
1004,hostbrwe,10,positive
1005,qualityprice,10,positive
1006,cancel,10,positive
1007,terraces,10,positive
1008,clearly,10,positive
1009,somewhere,10,positive
1010,loving,10,positive
1011,meal,10,positive
1012,paying,9,positive
1013,walks,9,positive
1014,gorge,9,positive
1015,eager,9,positive
1016,spirit,9,positive
1017,whatever,9,positive
1018,seems,9,positive
1019,unexpected,9,positive
1020,sunshine,9,positive
1021,breakfasts,9,positive
1022,impressive,9,positive
1023,prices,9,positive
1024,arrive,9,positive
1025,mihalis,9,positive
1026,regarding,9,positive
1027,complex,9,positive
1028,horrible,9,positive
1029,di,9,positive
1030,plants,9,positive
1031,couyard,9,positive
1032,heat,9,positive
1033,planning,9,positive
1034,babis,9,positive
1035,staing,9,positive
1036,pressure,9,positive
1037,via,9,positive
1038,nina,9,positive
1039,winter,9,positive
1040,square,9,positive
1041,knowledgeable,9,positive
1042,houses,8,positive
1043,electric,8,positive
1044,realized,8,positive
1045,tasteful,8,positive
1046,rural,8,positive
1047,elafonissi,8,positive
1048,heabeat,8,positive
1049,cutest,8,positive
1050,moreover,8,positive
1051,thoughtfully,8,positive
1052,note,8,positive
1053,community,8,positive
1054,serene,8,positive
1055,higly,8,positive
1056,sunbeds,8,positive
1057,music,8,positive
1058,planned,8,positive
1059,showers,8,positive
1060,indoor,8,positive
1061,animals,8,positive
1062,tranquility,8,positive
1063,astonishing,8,positive
1064,lost,8,positive
1065,mention,8,positive
1066,helpfully,8,positive
1067,warmheaed,8,positive
1068,crowds,8,positive
1069,info,8,positive
1070,respect,8,positive
1071,fish,8,positive
1072,mum,8,positive
1073,letting,8,positive
1074,justice,8,positive
1075,pure,8,positive
1076,unwind,8,positive
1077,hang,8,positive
1078,finished,8,positive
1079,swim,8,positive
1080,quirky,8,positive
1081,venue,8,positive
1082,till,8,positive
1083,waited,8,positive
1084,chance,8,positive
1085,respectful,8,positive
1086,excelent,8,positive
1087,arriving,8,positive
1088,knew,8,positive
1089,cheese,8,positive
1090,hills,8,positive
1091,magic,8,positive
1092,unbeatable,8,positive
1093,idyllic,7,positive
1094,goats,7,positive
1095,cancellation,7,positive
1096,flawless,7,positive
1097,aspect,7,positive
1098,shame,7,positive
1099,aspasia,7,positive
1100,kosta,7,positive
1101,fan,7,positive
1102,kostis,7,positive
1103,unless,7,positive
1104,fancy,7,positive
1105,panorama,7,positive
1106,thomais,7,positive
1107,locationbrgreat,7,positive
1108,despite,7,positive
1109,search,7,positive
1110,tastefully,7,positive
1111,nest,7,positive
1112,brilliantly,7,positive
1113,line,7,positive
1114,warmest,7,positive
1115,reasons,7,positive
1116,standards,7,positive
1117,loutro,7,positive
1118,ride,7,positive
1119,anyway,7,positive
1120,effective,7,positive
1121,friendliness,7,positive
1122,goodbye,7,positive
1123,lovingly,7,positive
1124,sister,7,positive
1125,green,7,positive
1126,watching,7,positive
1127,beat,7,positive
1128,crew,7,positive
1129,landscapes,7,positive
1130,roula,7,positive
1131,receive,7,positive
1132,cost,7,positive
1133,fire,7,positive
1134,agreed,7,positive
1135,nor,7,positive
1136,au,7,positive
1137,en,7,positive
1138,runs,6,positive
1139,e,6,positive
1140,playing,6,positive
1141,cares,6,positive
1142,stressful,6,positive
1143,written,6,positive
1144,basket,6,positive
1145,tip,6,positive
1146,vivi,6,positive
1147,b,6,positive
1148,magdalena,6,positive
1149,1000,6,positive
1150,kid,6,positive
1151,items,6,positive
1152,marie,6,positive
1153,girls,6,positive
1154,antonia,6,positive
1155,treated,6,positive
1156,locationbrvery,6,positive
1157,strange,6,positive
1158,crowded,6,positive
1159,theo,6,positive
1160,list,6,positive
1161,mistake,6,positive
1162,concerns,6,negative
1163,peacefull,6,positive
1164,adventures,6,positive
1165,hike,6,positive
1166,quaint,6,positive
1167,personnel,6,positive
1168,treasure,6,positive
1169,rare,6,positive
1170,pics,6,positive
1171,visitors,6,positive
1172,l,6,positive
1173,travellers,6,positive
1174,telling,6,positive
1175,improve,6,positive
1176,juice,6,positive
1177,heating,6,positive
1178,opposite,6,positive
1179,involved,6,positive
1180,eastern,6,positive
1181,25,6,positive
1182,ideas,6,positive
1183,grill,6,positive
1184,speaks,6,positive
1185,alternative,6,positive
1186,heike,6,positive
1187,iron,5,positive
1188,hello,5,positive
1189,territory,5,positive
1190,brdimitris,5,positive
1191,comfoing,5,positive
1192,happened,5,positive
1193,eah,5,positive
1194,claudia,5,positive
1195,pointed,5,positive
1196,tourism,5,positive
1197,owned,5,positive
1198,quietness,5,positive
1199,vieuw,5,positive
1200,favorite,5,positive
1201,salad,5,positive
1202,familys,5,positive
1203,grove,5,positive
1204,hostbhank,5,positive
1205,kreta,5,positive
1206,safety,5,positive
1207,hammock,5,positive
1208,lights,5,positive
1209,appear,5,positive
1210,advance,5,positive
1211,neighbor,5,positive
1212,sooo,5,positive
1213,outdoors,5,positive
1214,wasted,5,positive
1215,unsafe,5,positive
1216,towns,5,positive
1217,johns,5,positive
1218,cuisine,5,positive
1219,paly,5,positive
1220,addresses,5,positive
1221,proper,5,positive
1222,confused,5,positive
1223,seating,5,positive
1224,regular,5,positive
1225,equipments,5,positive
1226,valley,5,positive
1227,mix,5,positive
1228,viewbrwe,5,positive
1229,seconds,5,positive
1230,brbest,5,positive
1231,samaria,5,positive
1232,leading,5,positive
1233,ve,5,positive
1234,pass,5,positive
1235,oh,5,positive
1236,plan,5,positive
1237,answering,5,positive
1238,dining,5,positive
1239,brbra,5,positive
1240,normal,5,positive
1241,christinas,5,positive
1242,extended,5,positive
1243,beaten,5,positive
1244,everytime,5,positive
1245,track,5,positive
1246,esther,5,positive
1247,definition,5,positive
1248,form,5,positive
1249,apaman,5,positive
1250,boiler,5,positive
1251,served,5,positive
1252,noises,4,positive
1253,giorgia,4,positive
1254,spoiled,4,positive
1255,nopi,4,positive
1256,peacefully,4,positive
1257,brhost,4,positive
1258,tomatoes,4,positive
1259,cleanness,4,positive
1260,etouri,4,positive
1261,empty,4,positive
1262,towel,4,positive
1263,pastries,4,positive
1264,name,4,positive
1265,brmaria,4,positive
1266,brclose,4,positive
1267,helpfulbrwe,4,positive
1268,charis,4,positive
1269,noh,4,positive
1270,flooded,4,positive
1271,saved,4,positive
1272,classy,4,positive
1273,supply,4,positive
1274,solve,4,positive
1275,phoned,4,positive
1276,anymore,4,positive
1277,emma,4,positive
1278,furnishing,4,positive
1279,estate,4,positive
1280,glorious,4,positive
1281,expressed,4,positive
1282,heavenly,4,positive
1283,altogether,4,positive
1284,mobile,4,positive
1285,arrangements,4,positive
1286,palaiochora,4,positive
1287,driver,4,positive
1288,chilling,4,positive
1289,spili,4,positive
1290,land,4,positive
1291,pm,4,positive
1292,discussion,4,positive
1293,guarantee,4,positive
1294,spider,4,positive
1295,zaros,4,positive
1296,sky,4,positive
1297,solar,4,positive
1298,agree,4,positive
1299,adventure,4,positive
1300,recomand,4,positive
1301,rainy,4,positive
1302,discovering,3,positive
1303,re,3,positive
1304,blocked,3,positive
1305,geat,3,positive
1306,alma,3,positive
1307,moutains,3,positive
1308,january,3,positive
1309,wrote,3,positive
1310,organising,3,positive
1311,characterful,3,positive
1312,unreachable,3,positive
1313,grigoris,3,positive
